Actor,Soma de Facebook_likes,id_title
50 Cent,1000,629
50 Cent,1000,785
50 Cent,1000,1272
50 Cent,1000,1646
50 Cent,1000,2484
A. Michael Baldwin,174,4085
A.J. Buckley,275,56
A.J. Buckley,275,2719
A.J. Buckley,275,4231
A.J. Buckley,275,4578
A.J. Buckley,275,4613
A.J. DeLucia,3,4977
A.J. Langer,254,2044
Aaliyah,775,1456
Aaliyah,775,1894
Aaron Ashmore,750,2345
Aaron Ashmore,750,4117
Aaron Hill,398,1008
Aaron Hughes,113,3928
Aaron Kwok,107,811
Aaron Stanford,346,211
Aaron Stanford,346,3508
Aaron Stanford,346,3847
Aaron Stanford,346,4931
Aaron Staton,702,1931
Aaron Yoo,617,1320
Aaron Yoo,617,2167
Aaron Yoo,617,3120
Aaron Yoo,617,3237
Aaron Yoo,617,3632
Aaron Yoo,617,4127
Aasheekaa Bathija,0,4589
Aasif Mandvi,346,141
Aasif Mandvi,346,671
Aasif Mandvi,346,1476
Aasif Mandvi,346,2281
Abbie Cornish,2000,232
Abbie Cornish,2000,313
Abbie Cornish,2000,565
Abbie Cornish,2000,882
Abbie Cornish,2000,1982
Abbie Cornish,2000,2827
Abbie Cornish,2000,2837
Abbie Cornish,2000,3344
Abby Elliott,201,4728
Abby Mukiibi Nkaaga,25,3608
Abhishek Bachchan,374,3696
Abhishek Bachchan,374,3878
Abhishek Bachchan,374,4472
Abigail Evans,0,4925
Abigail Spencer,1000,675
Abigail Spencer,1000,2206
Abigail Spencer,1000,2313
Abigail Spencer,1000,3342
Abraham Benrubi,562,90
Abraham Benrubi,562,641
Abraham Benrubi,562,844
Ace Marrero,94,4791
Adam Alexi-Malle,860,857
Adam Arkin,374,544
Adam Arkin,374,1261
Adam Arkin,374,2247
Adam Arkin,374,4554
Adam Baldwin,2000,254
Adam Baldwin,2000,523
Adam Baldwin,2000,1335
Adam Baldwin,2000,1457
Adam Baldwin,2000,1501
Adam Baldwin,2000,3587
Adam Boyer,503,2507
Adam Brown,972,21
Adam Brown,972,24
Adam Brown,972,100
Adam Butcher,259,3693
Adam Carolla,102,4649
Adam Copeland,377,2688
Adam DiMarco,382,4455
Adam Garcia,811,1060
Adam Garcia,811,1094
Adam Garcia,811,2655
Adam Garcia,811,3800
Adam Goldberg,1000,501
Adam Goldberg,1000,509
Adam Goldberg,1000,805
Adam Goldberg,1000,939
Adam Goldberg,1000,1327
Adam Goldberg,1000,2232
Adam Goldberg,1000,2464
Adam Goldberg,1000,3482
Adam Goldberg,1000,3543
Adam Goldberg,1000,4471
Adam Goldberg,1000,4829
Adam Hicks,326,3899
Adam Lamberg,738,2632
Adam LeFevre,80,504
Adam LeFevre,80,4692
Adam LeFevre,80,4808
Adam Ratcliffe,606,4356
Adam Rayner,279,4967
Adam Rifkin,89,4908
Adam Sandler,11000,372
Adam Sandler,11000,373
Adam Sandler,11000,403
Adam Sandler,11000,430
Adam Sandler,11000,448
Adam Sandler,11000,450
Adam Sandler,11000,457
Adam Sandler,11000,459
Adam Sandler,11000,479
Adam Sandler,11000,487
Adam Sandler,11000,515
Adam Sandler,11000,531
Adam Sandler,11000,536
Adam Sandler,11000,550
Adam Sandler,11000,570
Adam Sandler,11000,822
Adam Sandler,11000,829
Adam Sandler,11000,936
Adam Sandler,11000,1105
Adam Sandler,11000,1587
Adam Sandler,11000,1953
Adam Sandler,11000,2051
Adam Sandler,11000,2250
Adam Sandler,11000,3105
Adam Scott,3000,258
Adam Scott,3000,360
Adam Scott,3000,661
Adam Scott,3000,906
Adam Scott,3000,1084
Adam Scott,3000,1163
Adam Scott,3000,2042
Adam Scott,3000,2379
Adam Scott,3000,2634
Adam Scott,3000,2824
Adam Scott,3000,3157
Adam Scott,3000,3727
Adam Scott,3000,3794
Adam Scott,3000,4115
Adam Trese,32,4259
Adel Karam,4,4394
Adelaide Kane,810,4059
Aden Young,238,2456
Aden Young,238,2894
Adhir Kalyan,402,758
Adhir Kalyan,402,1833
Aditya Roy Kapoor,417,3351
Adolphe Menjou,99,3756
Adrian Alonso,163,485
Adrian Gonzalez,69,4027
Adrian Holmes,126,3246
Adrian Lester,317,678
Adrian Martinez,806,360
Adrian Martinez,806,674
Adrian Martinez,806,3237
Adrian Martinez,806,3615
Adrian Martinez,806,4831
Adrian Pasdar,555,2605
Adrian Paul,786,2688
Adriana Barraza,85,3944
Adriana Barraza,85,4268
Adriana Caselotti,82,4450
Adriane Lenox,20,3215
Adriano Giannini,102,793
Adrien Dorval,44,1121
Adrienne Barbeau,602,431
Adrienne Barbeau,602,3313
Adrienne Barbeau,602,3371
Adrienne Barbeau,602,3599
Adrienne Frantz,73,4598
Adrienne King,121,4476
Adrienne Pickering,72,3244
Agame Malembo-Emene,2,4040
Agata Kulesza,46,4171
Agata Trzebuchowska,64,4171
Agnes Bruckner,401,999
Agnes Bruckner,400,2725
Agnes Bruckner,400,3197
Agnes Bruckner,400,3655
Agnes Bruckner,400,4578
Agnes Moorehead,960,480
Agnes Moorehead,960,4222
Agnia Ditkovskite,48,1879
Ahmad Massad,58,3551
Ahmed Best,313,4851
Ahmed Hassan,10,4349
Ahmet Ertegun,5,4588
Ahna O'Reilly,282,4646
Ahney Her,198,1870
Ah-sung Ko,74,2989
Aida Elkashef,5,4349
Aida Folch,9,3950
Aida Turturro,97,635
Aidan McArdle,266,2004
Aidan Quinn,767,1233
Aidan Quinn,767,1702
Aidan Quinn,767,2522
Aidan Quinn,767,2759
Aidan Quinn,767,2819
Aidan Quinn,767,3636
Aidan Quinn,767,3649
Aidan Quinn,767,3982
Aidan Quinn,767,4126
Aidan Quinn,767,4364
Aidan Quinn,767,4429
Aidan Quinn,767,4616
Aidan Turner,5000,21
Aidan Turner,5000,24
Aidan Turner,5000,100
Aidan Turner,5000,802
Aimee Garcia,618,1405
Aimee Garcia,618,1565
Aimee Garcia,618,1944
Aimee Garcia,618,4220
Aimee Garcia,618,4694
Aimee Teegarden,741,1257
Aimee Teegarden,741,1621
Aimee Teegarden,741,3393
Aisha Hinds,343,1683
Aisha Tyler,857,658
Aisha Tyler,856,1511
Aisha Tyler,856,2294
Aitana Sánchez-Gijón,130,3223
AJ Michalka,560,338
AJ Michalka,560,937
AJ Michalka,559,4585
Ajay Naidu,120,3596
Ajay Naidu,120,4293
Aki Aleong,284,3465
Akie Kotabe,614,2679
Akima,282,4698
Akira Terao,4,3021
Akon,262,3262
Akon,262,3455
Aksel Hennie,286,3691
Akshaye Khanna,75,3790
Al Cliver,22,4803
Al Freeman Jr.,318,1430
Al Gore,68,4549
Al Leong,730,3107
Al Leong,730,3123
Al Pacino,14000,412
Al Pacino,14000,515
Al Pacino,14000,640
Al Pacino,14000,735
Al Pacino,14000,785
Al Pacino,14000,828
Al Pacino,14000,896
Al Pacino,14000,1067
Al Pacino,14000,1289
Al Pacino,14000,1437
Al Pacino,14000,1690
Al Pacino,14000,1717
Al Pacino,14000,1907
Al Pacino,14000,2342
Al Pacino,14000,2359
Al Pacino,14000,2746
Al Pacino,14000,2838
Al Pacino,14000,2901
Al Pacino,14000,3091
Al Pacino,14000,3188
Al Pacino,14000,3467
Al Roker,56,358
Al Sapienza,238,4767
Alain Delon,936,243
Alan Autry,360,4250
Alan Bates,122,3334
Alan Brent,498,4935
Alan D. Purwin,2000,11
Alan Dale,441,792
Alan Dale,441,1951
Alan David,7,2355
Alan Ford,422,533
Alan Ford,422,3874
Alan Hale,114,4825
Alan Hale Jr.,426,4370
Alan Oppenheimer,271,1668
Alan Oppenheimer,271,1816
Alan Oppenheimer,271,2616
Alan Pietruszewski,93,4674
Alan Pietruszewski,93,4791
Alan Rickman,25000,10
Alan Rickman,25000,34
Alan Rickman,25000,107
Alan Rickman,25000,930
Alan Rickman,25000,1087
Alan Rickman,25000,1755
Alan Rickman,25000,1980
Alan Rickman,25000,2233
Alan Rickman,25000,2536
Alan Rickman,25000,3774
Alan Rickman,25000,4129
Alan Ruck,946,395
Alan Ruck,946,746
Alan Ruck,946,1344
Alan Ruck,946,1590
Alan Ruck,946,1592
Alan Ruck,946,2437
Alan Ruck,946,4762
Alan Ruck,946,5042
Alan Taylor,12,3924
Alan Van Sprang,147,3060
Alan Van Sprang,147,3444
Alan Williams,29,3947
Alan Young,639,482
Alana Kaniewski,19,5021
Alanna Ubach,584,2396
Alanna Ubach,584,4181
Alanna Ubach,584,4294
Alanna Ubach,584,4512
Alastair Duncan,38,3507
Alba Rohrwacher,72,3190
Albert Brooks,745,520
Albert Brooks,745,576
Albert Brooks,745,1055
Albert Brooks,745,1469
Albert Brooks,745,2317
Albert Brooks,745,2616
Albert Brooks,745,2654
Albert Brooks,745,2694
Albert Brooks,745,3002
Albert Brooks,745,3123
Albert Brooks,745,4536
Albert Delpy,8,4267
Albert Dupontel,46,890
Albert Dupontel,46,3684
Albert Finney,883,31
Albert Finney,883,184
Albert Finney,883,603
Albert Finney,883,938
Albert Finney,883,1499
Albert Finney,883,3007
Albert Finney,883,3494
Albert Finney,883,4534
Albert Maysles,184,4551
Albert Salmi,94,2448
Alden Ehrenreich,1000,1028
Alden Ehrenreich,1000,2108
Alden Ehrenreich,1000,2995
Alden Ehrenreich,1000,3538
Aldis Hodge,559,366
Aldis Hodge,559,1749
Aldo Sambrell,93,4898
Alejandro Furth,2,4395
Aleksa Palladino,255,2982
Aleksandr Bashirov,7,2011
Aleksey Chadov,28,3884
Aleksey Serebryakov,30,1383
Alessandra Mastronardi,159,2132
Alessandro Nivola,527,345
Alessandro Nivola,527,2073
Alessandro Nivola,527,2728
Alessandro Nivola,527,2941
Alessandro Preziosi,26,3284
Álex Angulo,90,4621
Alex Borstein,566,314
Alex Borstein,566,2403
Alex Borstein,566,2433
Alex Borstein,566,2632
Alex Borstein,566,3478
Alex Désert,135,4897
Alex Emanuel,375,4921
Alex Gibney,141,4587
Alex Huszar,61,4500
Alex Jennings,39,1478
Alex Jennings,39,2623
Alex Karpovsky,272,3064
Alex Karpovsky,272,4983
Alex Kendrick,589,3854
Alex Kendrick,589,4261
Alex Kendrick,589,4308
Alex Kendrick,589,4956
Alex Lawther,47,4553
Alex Macqueen,106,3976
Alex McArthur,137,470
Alex Meraz,606,4135
Alex Pettyfer,15000,969
Alex Pettyfer,15000,1319
Alex Pettyfer,15000,1595
Alex Pettyfer,15000,2245
Alex Pettyfer,15000,2502
Alex Pettyfer,15000,3471
Alex Rocco,968,1761
Alex Rocco,968,2116
Alex Rocco,968,2259
Alex Rocco,968,2497
Alex Rocco,968,2884
Alex Rocco,968,3827
Alex Russell,465,664
Alex Russell,465,1221
Alex Russell,465,1482
Alex Russell,465,2933
Alex Sanborn,271,4802
Alex Veadov,93,2928
Alex Vincent,189,3287
Alex Winter,636,2199
Alexa Davalos,850,214
Alexa Davalos,850,231
Alexa Davalos,850,2651
Alexa Davalos,850,2858
Alexa Havins,209,3412
Alexa PenaVega,2000,1118
Alexa PenaVega,2000,1192
Alexa PenaVega,2000,1303
Alexa PenaVega,2000,1343
Alexa PenaVega,2000,1391
Alexa PenaVega,2000,1406
Alexa PenaVega,2000,1825
Alexa PenaVega,2000,2306
Alexa PenaVega,2000,3166
Alexa PenaVega,2000,3354
Alexa PenaVega,2000,4021
Alexa PenaVega,2000,4232
Alexander Gould,1000,339
Alexander Gould,1000,964
Alexander Gould,1000,2511
Alexander Skarsgård,10000,29
Alexander Skarsgård,10000,64
Alexander Skarsgård,10000,138
Alexander Skarsgård,10000,1769
Alexander Skarsgård,10000,1921
Alexander Skarsgård,10000,1987
Alexander Skarsgård,10000,3275
Alexander Skarsgård,10000,3570
Alexander Skarsgård,10000,4288
Alexander Vlahos,334,4626
Alexander Wraith,119,4842
Alexandra Breckenridge,1000,1927
Alexandra Breckenridge,1000,3935
Alexandra Callas,247,3016
Alexandra Holden,326,2571
Alexandra Holden,326,4221
Alexandra Maria Lara,471,1374
Alexandra Maria Lara,471,2356
Alexandra Maria Lara,471,2830
Alexandra Maria Lara,471,3388
Alexandra Maria Lara,471,3575
Alexandra Rapaport,69,4034
Alexandra Silber,23,2079
Alexandre Rodrigues,40,4030
Alexandru Potocean,27,4641
Alexia Fast,553,3416
Alexia Rasmussen,171,4603
Alexis Arquette,285,1933
Alexis Biesiada,11,3668
Alexis Dziena,715,569
Alexis Dziena,715,3120
Alexis Dziena,715,3680
Alexis Kendra,34,3627
Alfie Allen,1000,1639
Alfie Allen,1000,3264
Alfre Woodard,1000,199
Alfre Woodard,1000,1049
Alfre Woodard,1000,1068
Alfre Woodard,1000,1426
Alfre Woodard,1000,1544
Alfre Woodard,1000,1664
Alfre Woodard,1000,1745
Alfre Woodard,1000,1913
Alfre Woodard,1000,1919
Alfre Woodard,1000,2660
Alfre Woodard,1000,2796
Alfre Woodard,1000,3414
Alfre Woodard,1000,3555
Alfre Woodard,1000,4703
Alfred Enoch,1000,207
Ali Daniels,15,4911
Ali Hillis,597,2163
Alia Shawkat,728,926
Alia Shawkat,727,2691
Alia Shawkat,727,3174
Alia Shawkat,727,3785
Alia Shawkat,727,4419
Alia Shawkat,727,4647
Alice Braga,1000,118
Alice Braga,1000,230
Alice Braga,1000,1239
Alice Braga,1000,1564
Alice Braga,1000,3512
Alice Braga,1000,4030
Alice Cooper,674,4324
Alice Englert,525,85
Alice Englert,525,1509
Alice Evans,227,3800
Alice Greczyn,631,917
Alice Greczyn,631,1103
Alice Greczyn,630,2378
Alice Krige,368,977
Alice Krige,368,2111
Alice Krige,368,3670
Alice Krige,368,4014
Alice Olivia Clarke,117,3980
Alice Playten,73,3724
Alice Pol,8,1978
Alicia Goranson,173,4258
Alicia Keys,551,3043
Alicia Sixtos,138,4797
Alicia Witt,976,726
Alicia Witt,976,1106
Alicia Witt,975,1574
Alicia Witt,975,1690
Alicia Witt,975,1900
Alicia Witt,975,2777
Alicia Witt,975,2955
Alicia Witt,975,3210
Alicia Witt,975,3922
Alicia Ziegler,106,4614
Alicja Bachleda,289,2999
Alicja Bachleda,289,3005
Alicja Bachleda,289,4121
Aliou Touré,0,4715
Alisha Boe,113,3707
Alison Brie,2000,768
Alison Brie,2000,1203
Alison Brie,2000,1257
Alison Brie,2000,1377
Alison Brie,2000,1681
Alison Chand,21,2832
Alison Doody,440,1040
Alison Doody,439,1635
Alison Lohman,1000,603
Alison Lohman,1000,1027
Alison Lohman,1000,1647
Alison Lohman,1000,2001
Alison Lohman,1000,2581
Alison Lohman,1000,2670
Alison Lohman,1000,2889
Alissa Dean,807,1060
Alix Freihage,19,3074
Allegra Carpenter,29,4154
Allen Covert,328,531
Allen Covert,328,1833
Allen Leech,305,2615
Allen Payne,364,2786
Allison Dean,159,4663
Allison Miller,479,3488
Allison Tolman,562,2634
Allison Tolman,562,3159
Allison Tolman,562,3705
Ally Sheedy,793,2926
Ally Sheedy,793,3230
Ally Sheedy,793,4867
Ally Walker,349,4384
Alma Martinez,56,4638
Alona Tal,1000,1474
Alona Tal,1000,3618
Alonna Shaw,67,2558
Alun Armstrong,192,382
Alun Armstrong,192,682
Alun Armstrong,192,1483
Alun Armstrong,192,3507
Alycia Debnam-Carey,298,981
Alyson Hannigan,3000,845
Alyson Hannigan,3000,979
Alyson Hannigan,3000,1588
Alyson Hannigan,3000,2183
Alyson Hannigan,3000,2564
Alyson Hannigan,3000,2572
Alyson Hannigan,3000,2792
Alyson Hannigan,3000,2919
Alyson Hannigan,3000,3491
Alyson Hannigan,3000,3806
Alyson Stoner,2000,730
Alyson Stoner,2000,1194
Alyson Stoner,2000,1650
Alyson Stoner,2000,2929
Amanda Detmer,240,898
Amanda Detmer,240,2102
Amanda Detmer,240,2564
Amanda Kearsan,0,4978
Amanda MacDonald,15,4990
Amanda Mealing,37,4120
Amanda Plummer,471,4197
Amanda Redman,100,3875
Amanda Schull,757,1737
Amanda Schull,757,2432
Amanda Schull,757,2471
Amanda Tilson,58,1959
Amanda Troop,196,3249
Amanda Wyss,574,1421
Amanda Wyss,574,4353
Amber Armstrong,21,4794
Amber Benson,326,4754
Amber Marie Bollinger,46,2733
Amber Marshall,265,4444
Amber Rose Revah,135,922
Amber Rose Revah,134,2093
Amber Stevens West,584,419
Amber Stevens West,584,940
Amber Valletta,627,357
Amber Valletta,627,733
Amber Valletta,627,992
Amber Valletta,627,1307
Amber Valletta,626,1786
Amber Valletta,626,2188
Amber Valletta,626,2962
Amelia Giancarlo,0,4978
Amelia Warner,170,2826
America Ferrera,953,94
America Ferrera,953,163
America Ferrera,953,1809
America Ferrera,953,1916
America Ferrera,953,2639
America Ferrera,953,2791
America Ferrera,953,4087
America Ferrera,953,4380
America Olivo,470,4815
Ami Ayalon,0,4417
Amiah Miller,509,3701
Amidou,35,2124
Amir Farrokh Hashemian,35,4922
Amir Talai,308,4864
Aml Ameen,149,1512
Amos Oz,3,4816
Amr Waked,903,970
Amr Waked,903,1190
Amr Waked,903,3383
Amrish Puri,429,1750
Amrish Puri,429,2089
Amy Badberg,0,4180
Amy Brenneman,366,494
Amy Bruni,155,2776
Amy Carson,4,1832
Amy Hargreaves,92,4793
Amy Hill,242,3921
Amy Irving,194,2934
Amy Irving,194,4043
Amy Irving,194,4098
Amy Locane,200,3407
Amy Lucas,432,4701
Amy Madigan,221,3612
Amy Madigan,221,4722
Amy Poehler,1000,69
Amy Poehler,1000,79
Amy Poehler,1000,449
Amy Poehler,1000,598
Amy Poehler,1000,708
Amy Poehler,1000,866
Amy Poehler,1000,1623
Amy Poehler,1000,1707
Amy Poehler,1000,2200
Amy Poehler,1000,2274
Amy Poehler,1000,2399
Amy Poehler,1000,2410
Amy Poehler,1000,3308
Amy Poehler,1000,4133
Amy Ryan,423,1072
Amy Ryan,423,1225
Amy Ryan,423,4310
Amy Schumer,492,1414
Amy Sedaris,397,192
Amy Sedaris,397,472
Amy Sedaris,397,715
Amy Sedaris,396,2566
Amy Sedaris,396,4131
Amy Sedaris,396,4282
Amy Sedaris,396,4612
Amy Steel,59,4476
Amy Stewart,28,1943
Amy Warren,13,247
Amy Yasbeck,424,2393
Amy Yasbeck,424,4328
Ana Claudia Talancón,163,4361
Ana Claudia Talancón,163,4602
Ana de la Reguera,679,972
Ana de la Reguera,678,1545
Ana Gasteyer,215,4196
Ana Imnadze,18,3014
Ana Maria Guran,0,4926
Ana Vatamanu,0,4926
Anamaria Marinca,131,4641
Anatoliy Solonitsyn,29,1062
Anders Holm,365,1174
Anders Holm,365,1734
Andre Braugher,702,106
Andre Braugher,702,193
Andre Braugher,702,223
Andre Braugher,702,855
Andre Braugher,702,1582
Andre Braugher,702,4213
André Dussollier,52,890
André Dussollier,52,1177
André Ramiro,15,3554
André the Giant,594,2652
André Wilms,9,2010
Andrea Corr,57,868
Andrea Di Stefano,30,498
Andrea Frankle,253,1281
Andrea Martin,179,1566
Andrea Martin,179,1882
Andrea Martin,179,2766
Andrea Martin,179,3295
Andrea Martin,179,3625
Andrea Ros,6,3667
Andrea Savage,105,661
Andrea Vergara,9,4609
Andrej Nahtigal,0,4723
Andrés Montiel,61,3233
Andrew Airlie,205,3749
Andrew Bryniarski,390,442
Andrew Bryniarski,390,621
Andrew Bujalski,26,5006
Andrew Bujalski,26,5011
Andrew Daly,171,1302
Andrew Daly,171,4805
Andrew Dice Clay,218,2416
Andrew Fiscella,137000,1224
Andrew Fiscella,137000,2270
Andrew Fiscella,137000,2940
Andrew Garfield,10000,22
Andrew Garfield,10000,40
Andrew Garfield,10000,1198
Andrew Garfield,10000,1484
Andrew Garfield,10000,1709
Andrew Garfield,10000,2727
Andrew Garfield,10000,3321
Andrew Keegan,835,2846
Andrew Keegan,835,3065
Andrew Keegan,835,3730
Andrew Keir,13,4970
Andrew Lawrence,563,3110
Andrew Rannells,416,4115
Andrew Robinson,266,4540
Andrew Simpson,99,1801
Andrew Wilson,387,1031
Andrew Wilson,387,3788
Andy Cohn,0,4817
Andy Davoli,146,3001
Andy Dick,302,1056
Andy Dick,302,2265
Andy Lau,483,1324
Andy Lau,483,2347
Andy Lau,483,2375
Andy Lau,483,2975
Andy Lau,483,4256
Andy On,60,2347
Andy Richter,179,183
Andy Richter,179,525
Andy Richter,179,1088
Ane Dahl Torp,13,4672
Anella Vastola,0,4526
Angel Coulby,566,1747
Angel David,13,4564
Angela Bettis,294,1275
Angela Cartwright,209,3360
Angela Featherstone,102,2808
Angela Featherstone,102,3779
Angela Jones,69,4457
Ángela Molina,40,3438
Angela Nordeng,371,4714
Angela Sarafyan,310,2583
Angela Sarafyan,310,4437
Angelica Lee,39,2389
Angélica Sancio,0,4040
Angeliki Papoulia,47,4826
Angelina Armani,677,4629
Angelina Jolie Pitt,11000,83
Angelina Jolie Pitt,11000,114
Angelina Jolie Pitt,11000,140
Angelina Jolie Pitt,11000,155
Angelina Jolie Pitt,11000,185
Angelina Jolie Pitt,11000,193
Angelina Jolie Pitt,11000,256
Angelina Jolie Pitt,11000,283
Angelina Jolie Pitt,11000,306
Angelina Jolie Pitt,11000,343
Angelina Jolie Pitt,11000,380
Angelina Jolie Pitt,11000,528
Angelina Jolie Pitt,11000,542
Angelina Jolie Pitt,11000,627
Angelina Jolie Pitt,11000,810
Angelina Jolie Pitt,11000,878
Angelina Jolie Pitt,11000,1043
Angelina Jolie Pitt,11000,1297
Angelina Jolie Pitt,11000,1321
Angelina Jolie Pitt,11000,1536
Angelina Jolie Pitt,11000,1856
Angelina Jolie Pitt,11000,2035
Angelina Jolie Pitt,11000,2334
Angelina Jolie Pitt,11000,2707
Angelina Jolie Pitt,11000,3171
Angell Conwell,522,2555
Angell Conwell,522,3910
Angelo Anthony Pizza,619,2678
Angelo Rossitto,60,3111
Angelo Rossitto,60,3677
Angelo Tsarouchas,246,3957
Angie Dickinson,754,1264
Angie Dickinson,754,3560
Angie Dickinson,754,4136
Angus Barnett,22,3069
Angus Macfadyen,448,1498
Angus Macfadyen,448,3098
Angus Sampson,82,3472
Angus Scrimm,674,4085
Angus T. Jones,1000,2085
Angus T. Jones,1000,2158
Angus T. Jones,1000,2554
Anika Noni Rose,525,278
Anika Noni Rose,525,543
Anika Noni Rose,525,2984
Anil Kapoor,668,2763
Anil Kapoor,668,4594
Anil Kumar,51,4859
Anita Briem,311,1078
Anita Briem,311,2341
Anita Mui,147,3437
Anita Mui,147,4256
Anita Page,77,4813
Anjelica Huston,1000,722
Anjelica Huston,1000,1005
Anjelica Huston,1000,1010
Anjelica Huston,1000,1597
Anjelica Huston,1000,1763
Anjelica Huston,1000,1840
Anjelica Huston,1000,2969
Anjelica Huston,1000,3063
Anjelica Huston,1000,3305
Anjelica Huston,1000,4028
Anjelica Huston,1000,4413
Ann Dowd,185,4758
Ann Gillis,8,4648
Ann Miller,302,4388
Ann Morgan Guilbert,547,4093
Ann Talman,6,1767
Anna Friel,735,317
Anna Friel,735,2749
Anna Friel,735,3415
Anna Friel,736,3946
Anna Gunn,1000,3930
Anna Harr,290,2462
Anna Karina,257,4836
Anna Katarina,26,3433
Anna Katharina Schwabroh,7,3879
Anna Kendrick,10000,425
Anna Kendrick,10000,632
Anna Kendrick,10000,753
