id_names,Actor,Facebook_likes
1000,50 Cent,1000
1001,A. Michael Baldwin,174
1002,A.J. Buckley,275
1003,A.J. DeLucia,3
1004,A.J. Langer,254
1005,AJ Michalka,559
1006,AJ Michalka,560
1007,Aaliyah,775
1008,Aaron Ashmore,750
1009,Aaron Hill,398
1010,Aaron Hughes,113
1011,Aaron Kwok,107
1012,Aaron Stanford,346
1013,Aaron Staton,702
1014,Aaron Yoo,617
1015,Aasheekaa Bathija,0
1016,Aasif Mandvi,346
1017,Abbie Cornish,2000
1018,Abby Elliott,201
1019,Abby Mukiibi Nkaaga,25
1020,Abhishek Bachchan,374
1021,Abigail Evans,0
1022,Abigail Spencer,1000
1023,Abraham Benrubi,562
1024,Ace Marrero,94
1025,Adam Alexi-Malle,860
1026,Adam Arkin,374
1027,Adam Baldwin,2000
1028,Adam Boyer,503
1029,Adam Brown,972
1030,Adam Butcher,259
1031,Adam Carolla,102
1032,Adam Copeland,377
1033,Adam DiMarco,382
1034,Adam Garcia,811
1035,Adam Goldberg,1000
1036,Adam Hicks,326
1037,Adam Lamberg,738
1038,Adam LeFevre,80
1039,Adam Ratcliffe,606
1040,Adam Rayner,279
1041,Adam Rifkin,89
1042,Adam Sandler,11000
1043,Adam Scott,3000
1044,Adam Trese,32
1045,Adel Karam,4
1046,Adelaide Kane,810
1047,Aden Young,238
1048,Adhir Kalyan,402
1049,Aditya Roy Kapoor,417
1050,Adolphe Menjou,99
1051,Adrian Alonso,163
1052,Adrian Gonzalez,69
1053,Adrian Holmes,126
1054,Adrian Lester,317
1055,Adrian Martinez,806
1056,Adrian Pasdar,555
1057,Adrian Paul,786
1058,Adriana Barraza,85
1059,Adriana Caselotti,82
1060,Adriane Lenox,20
1061,Adriano Giannini,102
1062,Adrien Dorval,44
1063,Adrienne Barbeau,602
1064,Adrienne Frantz,73
1065,Adrienne King,121
1066,Adrienne Pickering,72
1067,Agame Malembo-Emene,2
1068,Agata Kulesza,46
1069,Agata Trzebuchowska,64
