id_title,movie_title,language,title_year,color,content_rating,country,Soma de budget,Soma de gross,Soma de duration
1,Avatar ,English,2009,Color,PG-13,USA,237000000,760505847,178
2,Pirates of the Caribbean: At World's End ,English,2007,Color,PG-13,USA,300000000,309404152,169
3,Spectre ,English,2015,Color,PG-13,UK,245000000,200074175,148
4,The Dark Knight Rises ,English,2012,Color,PG-13,USA,250000000,448130642,164
6,John Carter ,English,2012,Color,PG-13,USA,263700000,73058679,132
7,Spider-Man 3 ,English,2007,Color,PG-13,USA,258000000,336530303,156
8,Tangled ,English,2010,Color,PG,USA,260000000,200807262,100
9,Avengers: Age of Ultron ,English,2015,Color,PG-13,USA,250000000,458991599,141
10,Harry Potter and the Half-Blood Prince ,English,2009,Color,PG,UK,250000000,301956980,153
11,Batman v Superman: Dawn of Justice ,English,2016,Color,PG-13,USA,250000000,330249062,183
12,Superman Returns ,English,2006,Color,PG-13,USA,209000000,200069408,169
13,Quantum of Solace ,English,2008,Color,PG-13,UK,200000000,168368427,106
14,Pirates of the Caribbean: Dead Man's Chest ,English,2006,Color,PG-13,USA,225000000,423032628,151
15,The Lone Ranger ,English,2013,Color,PG-13,USA,215000000,89289910,150
16,Man of Steel ,English,2013,Color,PG-13,USA,225000000,291021565,143
17,The Chronicles of Narnia: Prince Caspian ,English,2008,Color,PG,USA,225000000,141614023,150
18,The Avengers ,English,2012,Color,PG-13,USA,220000000,623279547,173
19,Pirates of the Caribbean: On Stranger Tides ,English,2011,Color,PG-13,USA,250000000,241063875,136
20,Men in Black 3 ,English,2012,Color,PG-13,USA,225000000,179020854,106
21,The Hobbit: The Battle of the Five Armies ,English,2014,Color,PG-13,New Zealand,250000000,255108370,164
22,The Amazing Spider-Man ,English,2012,Color,PG-13,USA,230000000,262030663,153
23,Robin Hood ,English,2010,Color,PG-13,USA,200000000,105219735,156
24,The Hobbit: The Desolation of Smaug ,English,2013,Color,PG-13,USA,225000000,258355354,186
25,The Golden Compass ,English,2007,Color,PG-13,USA,180000000,70083519,113
26,King Kong ,English,2005,Color,PG-13,New Zealand,207000000,218051260,201
27,Titanic ,English,1997,Color,PG-13,USA,200000000,658672302,194
28,Captain America: Civil War ,English,2016,Color,PG-13,USA,250000000,407197282,147
29,Battleship ,English,2012,Color,PG-13,USA,209000000,65173160,131
30,Jurassic World ,English,2015,Color,PG-13,USA,150000000,652177271,124
31,Skyfall ,English,2012,Color,PG-13,UK,200000000,304360277,143
32,Spider-Man 2 ,English,2004,Color,PG-13,USA,200000000,373377893,135
33,Iron Man 3 ,English,2013,Color,PG-13,USA,200000000,408992272,195
34,Alice in Wonderland ,English,2010,Color,PG,USA,200000000,334185206,108
35,X-Men: The Last Stand ,English,2006,Color,PG-13,Canada,210000000,234360014,104
36,Monsters University ,English,2013,Color,G,USA,200000000,268488329,104
37,Transformers: Revenge of the Fallen ,English,2009,Color,PG-13,USA,200000000,402076689,150
38,Transformers: Age of Extinction ,English,2014,Color,PG-13,USA,210000000,245428137,165
39,Oz the Great and Powerful ,English,2013,Color,PG,USA,215000000,234903076,130
40,The Amazing Spider-Man 2 ,English,2014,Color,PG-13,USA,200000000,202853933,142
41,TRON: Legacy ,English,2010,Color,PG,USA,170000000,172051787,125
42,Cars 2 ,English,2011,Color,G,USA,200000000,191450875,106
43,Green Lantern ,English,2011,Color,PG-13,USA,200000000,116593191,123
44,Toy Story 3 ,English,2010,Color,G,USA,200000000,414984497,103
45,Terminator Salvation ,English,2009,Color,PG-13,USA,200000000,125320003,118
46,Furious 7 ,English,2015,Color,PG-13,USA,190000000,350034110,140
47,World War Z ,English,2013,Color,PG-13,USA,190000000,202351611,123
48,X-Men: Days of Future Past ,English,2014,Color,PG-13,USA,200000000,233914986,149
49,Star Trek Into Darkness ,English,2013,Color,PG-13,USA,190000000,228756232,132
50,Jack the Giant Slayer ,English,2013,Color,PG-13,USA,195000000,65171860,114
51,The Great Gatsby ,English,2013,Color,PG-13,Australia,105000000,144812796,143
52,Prince of Persia: The Sands of Time ,English,2010,Color,PG-13,USA,200000000,90755643,116
53,Pacific Rim ,English,2013,Color,PG-13,USA,190000000,101785482,131
54,Transformers: Dark of the Moon ,English,2011,Color,PG-13,USA,195000000,352358779,154
55,Indiana Jones and the Kingdom of the Crystal Skull ,English,2008,Color,PG-13,USA,185000000,317011114,122
56,The Good Dinosaur ,English,2015,Color,PG,USA,,123070338,93
57,Brave ,English,2012,Color,PG,USA,185000000,237282182,93
58,Star Trek Beyond ,English,2016,Color,PG-13,USA,185000000,130468626,122
59,WALL·E ,English,2008,Color,G,USA,180000000,223806889,98
60,Rush Hour 3 ,English,2007,Color,PG-13,USA,140000000,140080850,91
61,2012 ,English,2009,Color,PG-13,USA,200000000,166112167,158
62,A Christmas Carol ,English,2009,Color,PG,USA,200000000,137850096,96
63,Jupiter Ascending ,English,2015,Color,PG-13,USA,176000000,47375327,127
64,The Legend of Tarzan ,English,2016,Color,PG-13,USA,180000000,124051759,110
65,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",English,2005,Color,PG,USA,180000000,291709845,150
66,X-Men: Apocalypse ,English,2016,Color,PG-13,USA,178000000,154985087,144
67,The Dark Knight ,English,2008,Color,PG-13,USA,185000000,533316061,152
68,Up ,English,2009,Color,PG,USA,175000000,292979556,96
69,Monsters vs. Aliens ,English,2009,Color,PG,USA,175000000,198332128,94
70,Iron Man ,English,2008,Color,PG-13,USA,140000000,318298180,126
71,Hugo ,English,2011,Color,PG,USA,170000000,73820094,126
72,Wild Wild West ,English,1999,Color,PG-13,USA,170000000,113745408,106
73,The Mummy: Tomb of the Dragon Emperor ,English,2008,Color,PG-13,USA,145000000,102176165,112
74,Suicide Squad ,English,2016,Color,PG-13,USA,175000000,161087183,123
75,Evan Almighty ,English,2007,Color,PG,USA,175000000,100289690,96
76,Edge of Tomorrow ,English,2014,Color,PG-13,USA,178000000,100189501,113
77,Waterworld ,English,1995,Color,PG-13,USA,175000000,88246220,176
78,G.I. Joe: The Rise of Cobra ,English,2009,Color,PG-13,USA,175000000,150167630,118
79,Inside Out ,English,2015,Color,PG,USA,175000000,356454367,95
80,The Jungle Book ,English,2016,Color,PG,UK,175000000,362645141,106
81,Iron Man 2 ,English,2010,Color,PG-13,USA,200000000,312057433,124
82,Snow White and the Huntsman ,English,2012,Color,PG-13,USA,170000000,155111815,132
83,Maleficent ,English,2014,Color,PG,USA,180000000,241407328,97
84,Dawn of the Planet of the Apes ,English,2014,Color,PG-13,USA,170000000,208543795,130
85,The Lovers ,English,2015,Color,R,Belgium,,,109
86,47 Ronin ,English,2013,Color,PG-13,USA,175000000,38297305,128
87,Captain America: The Winter Soldier ,English,2014,Color,PG-13,USA,170000000,259746958,136
88,Shrek Forever After ,English,2010,Color,PG,USA,165000000,238371987,93
89,Tomorrowland ,English,2015,Color,PG,USA,190000000,93417865,130
90,Big Hero 6 ,English,2014,Color,PG,USA,165000000,222487711,102
91,Wreck-It Ralph ,English,2012,Color,PG,USA,165000000,189412677,101
92,The Polar Express ,English,2004,Color,G,USA,165000000,665426,100
93,Independence Day: Resurgence ,English,2016,Color,PG-13,USA,165000000,102315545,120
94,How to Train Your Dragon ,English,2010,Color,PG,USA,165000000,217387997,98
95,Terminator 3: Rise of the Machines ,English,2003,Color,R,USA,200000000,150350192,109
