id_title,imdb_score,num_critic_for_reviews,num_user_for_reviews,num_voted_users
1,"7,9",723,3054,886204
2,"7,1",302,1238,471220
3,"6,8",602,994,275868
4,"8,5",813,2701,1144337
5,"7,1",,,8
6,"6,6",462,738,212204
7,"6,2",392,1902,383056
8,"7,8",324,387,294810
9,"7,5",635,1117,462669
10,"7,5",375,973,321795
11,"6,9",673,3018,371639
12,"6,1",434,2367,240396
13,"6,7",403,1243,330784
14,"7,3",313,1832,522040
15,"6,5",450,711,181792
16,"7,2",733,2536,548573
17,"6,6",258,438,149922
18,"8,1",703,1722,995415
19,"6,7",448,484,370704
20,"6,8",451,341,268154
21,"7,5",422,802,354228
22,"7,0",599,1225,451803
23,"6,7",343,546,211765
24,"7,9",509,951,483540
25,"6,1",251,666,149019
26,"7,2",446,2618,316018
27,"7,7",315,2528,793059
28,"8,2",516,1022,272670
29,"5,9",377,751,202382
30,"7,0",644,1290,418214
31,"7,8",750,1498,522030
32,"7,3",300,1303,411164
33,"7,2",608,1187,557489
34,"6,5",451,736,306320
35,"6,8",334,1912,383427
36,"7,3",376,265,235025
37,"6,0",366,1439,323207
38,"5,7",378,918,242420
39,"6,4",525,511,175409
40,"6,7",495,1067,321227
41,"6,8",469,665,264183
42,"6,3",304,283,101178
43,"5,6",436,550,223393
44,"8,3",453,733,544884
45,"6,6",422,974,286095
46,"7,2",424,657,278232
47,"7,0",654,995,465019
48,"8,0",539,752,514125
49,"7,8",590,1171,395573
50,"6,3",338,205,106416
51,"7,3",490,753,362912
52,"6,6",306,453,222403
53,"7,0",575,1106,381148
54,"6,3",428,899,326180
55,"6,2",470,2054,333847
56,"6,8",298,345,62836
57,"7,2",488,428,273556
58,"7,5",322,432,53607
59,"8,4",421,1043,718837
60,"6,2",162,221,121084
61,"5,8",367,1055,283418
62,"6,8",240,249,72809
63,"5,4",384,720,139593
64,"6,6",248,239,42372
65,"6,9",284,1463,286506
66,"7,3",396,622,148379
67,"9,0",645,4667,1676169
68,"8,3",408,704,665575
69,"6,5",219,187,114553
70,"7,9",486,1055,696338
71,"7,5",682,678,245333
72,"4,8",85,648,129601
73,"5,2",264,501,117927
74,"6,9",418,971,118992
75,"5,4",186,257,115099
76,"7,9",585,741,431620
77,"6,1",91,309,144337
78,"5,8",250,534,174578
79,"8,3",536,773,345198
80,"7,8",370,398,106072
81,"7,0",453,723,522371
82,"6,1",416,710,228554
83,"7,0",401,634,252257
84,"7,6",521,620,317542
85,"4,5",10,15,2138
86,"6,3",218,324,116994
87,"7,8",576,742,496749
88,"6,4",226,173,138661
89,"6,5",443,497,128306
90,"7,9",384,433,279093
91,"7,8",377,345,272534
92,"6,6",188,444,120798
93,"5,5",286,520,58137
94,"8,2",288,492,485430
95,"6,4",280,1676,305340
96,"8,1",653,1097,682155
97,"8,6",712,2725,928227
98,"8,8",642,2803,1468200
99,"8,2",1,13,374
100,"7,9",645,1367,637246
101,"6,7",187,988,272223
102,"7,8",362,822,459346
103,"7,8",500,698,518537
104,"6,6",389,383,166137
105,"6,1",235,238,124185
106,"5,6",231,629,82380
107,"6,4",218,131,21352
108,"6,1",227,326,211971
109,"7,3",275,781,111609
110,"6,6",474,867,188457
111,"6,3",228,227,106446
112,"6,1",191,1999,254111
113,"7,1",396,1782,513158
114,"5,5",248,1390,138863
115,"7,5",329,1108,355137
116,"7,6",295,1896,385670
117,"6,4",318,590,343648
118,"7,2",323,1413,530870
119,"6,7",276,1361,320284
120,"8,0",318,626,473887
121,"8,3",478,2685,980946
122,"6,7",167,119,146019
123,"5,9",185,209,130272
124,"6,7",350,641,361924
125,"6,7",245,2121,364948
126,"7,6",406,904,421658
127,"7,2",275,2789,421818
128,"7,1",486,532,414070
129,"8,1",739,1588,552503
130,"6,7",298,435,207839
131,"7,0",516,738,536314
132,"6,9",225,178,146766
133,"5,1",145,90,33042
134,"5,8",310,253,152826
135,"6,2",526,479,199039
136,"7,4",465,440,232187
137,"5,8",357,432,89442
138,"6,6",248,239,42372
139,"6,2",194,206,105902
140,"7,3",284,209,182718
141,"4,2",280,1382,118951
142,"6,9",310,871,256695
143,"6,4",339,434,164238
144,"5,4",132,112,17590
145,"6,7",135,122,85086
146,"5,8",256,186,39956
147,"6,9",196,130,47900
148,"7,2",220,1694,381672
149,"6,9",211,154,119213
150,"6,1",264,1185,169914
151,"5,5",464,1211,69757
152,"6,6",167,1171,322395
153,"6,1",208,606,270207
154,"6,3",287,505,142440
155,"7,2",210,145,64322
156,"7,4",432,512,365104
157,"7,3",256,174,123553
158,"6,1",135,258,110788
159,"7,7",190,928,317166
160,"6,1",314,657,128682
161,"8,0",518,1559,504419
162,"7,3",291,2012,544665
163,"7,9",292,343,221128
164,"5,5",184,273,51892
165,"5,0",145,388,45455
166,"7,7",451,1229,392474
167,"6,6",141,287,127497
168,"5,7",267,1445,212106
169,"5,8",351,288,146352
170,"6,0",163,463,77673
171,"6,4",166,788,72259
172,"6,9",510,679,508818
173,"6,4",197,683,157519
174,"7,4",244,684,168207
175,"5,5",322,329,185394
176,"5,9",156,79,32399
177,"6,8",354,643,326286
178,"7,5",21,74,16769
179,"6,8",252,106,12572
180,"8,1",556,1188,406020
181,"6,5",166,90,62424
182,"7,2",362,337,183208
183,"6,7",153,118,60230
184,"8,1",329,820,491077
185,"7,6",266,360,307029
186,"7,4",517,549,313866
187,"7,6",502,706,498397
188,"5,5",322,329,185394
189,"6,7",165,214,70121
190,"6,5",401,2741,334345
191,"6,6",94,511,178126
192,"6,7",246,137,114287
193,"6,4",330,514,245621
194,"5,8",434,1240,200022
195,"7,4",440,447,177383
196,"7,8",274,1504,382255
197,"6,6",245,450,102338
198,"4,9",349,744,158720
199,"6,5",145,241,38438
200,"7,5",1,2,381
201,"6,2",154,126,67223
202,"7,3",233,187,172754
203,"7,5",258,1571,444683
204,"5,6",208,210,91640
205,"8,2",1,13,374
206,"8,1",271,2113,809474
207,"6,4",4,2,252
208,"6,7",403,591,305008
209,"6,6",294,1966,314253
210,"6,4",159,99,58498
211,"7,5",289,1055,405973
212,"7,3",342,366,284792
213,"7,5",382,412,338635
214,"5,8",344,637,229679
215,"7,5",196,391,240241
216,"6,6",85,546,101411
217,"6,7",436,504,229823
218,"3,7",183,1018,189855
219,"6,0",175,482,141414
220,"6,4",239,1159,333248
221,"6,1",237,1426,242188
222,"6,4",231,779,133076
223,"5,6",262,436,213275
224,"8,0",552,755,440084
225,"5,2",276,681,182661
226,"7,1",267,297,40123
227,"4,8",102,554,100821
228,"7,0",775,2326,456260
229,"5,4",71,69,36471
230,"6,6",476,814,338087
231,"6,7",207,666,183909
232,"6,2",492,630,182899
233,"6,1",284,414,57873
234,"5,3",168,196,35066
235,"6,3",283,348,148280
236,"7,0",539,892,387436
237,"7,6",359,3286,520104
238,"6,7",284,3516,464310
239,"8,1",250,593,585659
240,"6,7",440,533,328067
241,"6,5",320,3597,534658
242,"7,3",257,195,150618
243,"5,1",33,36,20567
244,"6,0",152,454,55994
245,"6,1",231,134,37750
246,"5,9",348,491,167085
247,"7,8",738,1885,582917
248,"5,8",93,277,62271
249,"6,3",181,115,17533
250,"4,3",369,695,110486
251,"6,4",179,444,234480
252,"6,1",358,499,147497
253,"6,5",160,328,149680
254,"7,1",192,1144,207613
255,"6,4",198,627,284852
256,"6,5",233,798,348861
257,"6,3",263,258,154621
258,"7,5",267,799,264318
259,"4,9",184,121,53160
260,"5,8",447,443,136019
261,"7,6",29,97,25402
262,"6,2",366,523,225273
263,"5,5",172,153,66593
264,"5,4",104,88,13581
265,"5,8",181,144,44296
266,"7,1",327,426,254841
267,"5,4",125,59,27257
268,"3,7",79,248,60573
269,"6,7",326,554,184561
270,"7,2",354,782,336235
271,"8,8",297,5060,1238746
272,"5,8",188,191,68720
273,"6,8",174,386,79186
274,"3,8",109,456,36033
275,"7,1",225,789,387632
276,"7,2",239,942,217373
277,"5,9",101,179,94172
278,"7,1",228,214,89351
279,"8,1",568,1023,472488
280,"7,2",,,6
281,"6,9",257,899,263329
282,"4,4",62,89,4102
283,"6,5",175,498,218341
284,"8,5",265,2368,982637
285,"7,7",252,1331,399651
286,"7,4",232,858,387616
287,"8,0",400,2301,470483
288,"5,7",230,1368,177725
289,"8,5",210,983,744891
290,"7,0",357,585,230931
291,"7,8",300,458,324671
292,"7,2",94,351,190439
293,"6,4",267,285,149998
294,"5,5",180,152,85531
295,"6,7",265,316,189806
296,"6,1",81,131,84424
297,"8,5",765,1193,955174
298,"6,9",80,230,102933
299,"7,3",141,297,128285
300,"6,7",383,474,246803
301,"6,9",193,692,255447
302,"5,1",170,1690,108076
303,"6,8",333,388,87677
304,"5,8",256,186,39956
305,"6,7",203,113,85833
306,"6,0",321,374,176598
307,"5,7",174,524,89509
308,"8,0",166,657,400292
309,"8,2",606,1138,780588
310,"5,4",144,539,190786
311,"7,2",192,1049,221521
312,"7,5",511,828,284825
313,"7,0",188,160,65785
314,"3,3",212,660,87451
315,"6,0",245,269,115687
316,"7,1",127,217,71527
317,"5,4",167,224,52029
318,"6,1",320,351,127258
319,"5,3",163,163,33953
320,"2,2",78,239,40751
321,"7,0",289,161,71782
322,"3,8",66,164,20295
323,"6,9",266,261,110364
324,"7,2",208,155,27918
325,"7,3",97,263,18697
326,"6,3",202,890,248045
327,"7,5",233,1166,314033
328,"7,6",136,130,38690
329,"6,8",154,112,54077
330,"5,2",169,407,49739
331,"7,7",200,1103,292022
332,"6,2",255,177,106790
333,"7,7",173,742,343274
334,"4,3",221,293,59581
335,"6,9",82,139,58300
336,"6,6",233,139,145321
337,"7,0",343,322,103737
338,"6,7",308,593,125109
339,"8,2",301,866,692482
340,"8,9",328,3189,1215718
341,"8,7",294,2417,1100446
342,"5,5",175,154,54501
343,"5,7",199,824,157016
344,"6,3",355,462,172707
345,"5,9",198,1236,219501
346,"7,6",529,646,403836
347,"6,6",198,125,68935
348,"5,3",412,503,165618
349,"6,0",106,267,16832
350,"8,0",283,815,479166
351,"5,6",61,169,21102
352,"5,9",217,419,141179
353,"7,3",175,289,403014
354,"7,9",191,515,385871
355,"6,8",316,326,149947
356,"6,6",127,394,160440
357,"6,6",185,683,98403
358,"7,0",191,156,152601
359,"7,0",188,132,166791
360,"7,3",362,515,236421
361,"5,5",181,643,145350
362,"8,5",352,2054,873649
363,"7,5",143,222,171792
364,"7,0",308,577,307539
365,"7,8",517,632,330152
366,"7,6",148,346,299258
367,"7,6",415,621,477300
368,"6,1",1,1,57
369,"6,8",146,289,72591
370,"5,0",70,53,9418
371,"7,1",269,440,183247
372,"5,5",198,380,156348
373,"5,6",253,342,89770
374,"7,1",281,2153,238747
375,"4,9",122,179,32049
376,"7,4",159,611,200556
377,"5,7",180,628,101834
378,"6,4",227,411,86152
379,"5,9",183,204,86627
380,"5,5",157,316,102747
381,"6,9",196,139,40862
382,"6,2",64,184,52136
383,"7,0",142,361,121259
384,"5,6",181,949,60467
385,"7,0",240,186,165333
386,"6,8",93,362,87785
387,"5,4",84,181,58227
388,"6,1",66,114,45602
389,"6,7",136,278,49311
390,"4,3",369,695,110486
391,"6,9",166,337,113065
392,"8,0",201,529,148238
393,"4,4",47,24,2508
394,"7,3",175,455,57661
395,"6,3",114,395,144053
396,"6,7",187,988,272223
397,"7,7",221,1051,394317
398,"6,5",206,548,132501
399,"7,8",239,806,348232
400,"6,4",142,393,146134
401,"7,8",186,845,402645
402,"5,8",228,254,88542
403,"7,1",256,168,164148
404,"7,1",222,399,142496
405,"8,6",103,270,159910
406,"6,8",298,276,166693
407,"4,8",84,77,26413
408,"6,2",236,194,110073
409,"6,9",157,483,182757
410,"7,3",81,415,188116
411,"6,6",187,214,69860
412,"6,9",238,288,256928
413,"6,2",107,100,65270
414,"6,7",459,713,341058
415,"7,6",187,662,188887
416,"6,7",151,255,82731
417,"6,2",80,257,106528
418,"7,3",229,548,119286
419,"6,0",158,378,179500
420,"7,1",190,78,35446
421,"7,1",98,703,169023
422,"5,5",135,339,61417
423,"7,8",84,146,19228
424,"5,6",382,208,70838
425,"7,5",393,522,273921
426,"5,4",149,466,77029
